ticker,name,theme,region,benchmark,universe_layer
SKYY,Cloud Computing ETF,Cloud_AI,US,SPY,CORE
CLOU,Cloud Computing ETF,Cloud_AI,US,SPY,CORE
WCLD,Cloud Software ETF,Software,US,SPY,CORE
PAVE,US Infrastructure ETF,Power_Grid,US,SPY,CORE
GRID,Smart Grid ETF,Power_Grid,US,SPY,CORE
IFRA,US Infrastructure ETF,Power_Grid,US,SPY,CORE
XAR,Aerospace Defense ETF,Defense,US,SPY,CORE
BOTZ,Robotics AI ETF,Industrials,US,SPY,CORE
ROBO,Robotics Automation ETF,Industrials,US,SPY,CORE
LIT,Lithium Battery Tech ETF,EV,US,SPY,CORE
DRIV,Autonomous EV ETF,EV,US,SPY,CORE
ARM,Arm Holdings,AI_Semiconductor,US,SPY,CORE
MRVL,Marvell Technology,AI_Networking,US,SPY,CORE
MCHP,Microchip Technology,Analog_Semiconductor,US,SPY,CORE
NXPI,NXP Semiconductors,Analog_Semiconductor,US,SPY,CORE
ON,ON Semiconductor,Analog_Semiconductor,US,SPY,CORE
TER,Teradyne,Semiconductor_Equipment,US,SPY,CORE
GFS,GlobalFoundries,Foundry,US,SPY,CORE
SNDK,SanDisk,Memory,US,SPY,CORE
WDC,Western Digital,Memory,US,SPY,CORE
COHR,Coherent,AI_Networking,US,SPY,CORE
LITE,Lumentum,AI_Networking,US,SPY,CORE
CIEN,Ciena,AI_Networking,US,SPY,CORE
EQIX,Equinix,AI_Infrastructure,US,SPY,CORE
DLR,Digital Realty,AI_Infrastructure,US,SPY,CORE
NVT,nVent Electric,Power_Grid,US,SPY,CORE
EMR,Emerson Electric,Power_Grid,US,SPY,CORE
ABB,ABB ADR,Power_Grid,EU,SPY,CORE
CHKP,Check Point,Cybersecurity,US,SPY,CORE
CYBR,CyberArk,Cybersecurity,US,SPY,CORE
S,SentinelOne,Cybersecurity,US,SPY,CORE
GD,General Dynamics,Defense,US,SPY,CORE
HII,Huntington Ingalls,Defense,US,SPY,CORE
MATX,Matson,Shipping,US,SPY,CORE
ALB,Albemarle,EV,US,SPY,CORE
SU.PA,Schneider Electric,Power_Grid,EU,^STOXX,CORE
ENR.DE,Siemens Energy,Power_Grid,EU,^STOXX,CORE
SIE.DE,Siemens,Industrials,EU,^STOXX,CORE
PRY.MI,Prysmian,Power_Grid,EU,^STOXX,CORE
NEX.PA,Nexans,Power_Grid,EU,^STOXX,CORE
IFX.DE,Infineon Technologies,Semiconductor,EU,^STOXX,CORE
STM.PA,STMicroelectronics,Semiconductor,EU,^STOXX,CORE
ASM.AS,ASM International,Semiconductor_Equipment,EU,^STOXX,CORE
BESI.AS,BE Semiconductor Industries,Semiconductor_Equipment,EU,^STOXX,CORE
RHM.DE,Rheinmetall,Defense,EU,^STOXX,CORE
AIR.PA,Airbus,Defense,EU,^STOXX,CORE
SAF.PA,Safran,Defense,EU,^STOXX,CORE
LDO.MI,Leonardo,Defense,EU,^STOXX,CORE
SAP.DE,SAP,Software,EU,^STOXX,CORE
MAERSK-B.CO,Maersk,Shipping,EU,^OMXC25,CORE
HLAG.DE,Hapag-Lloyd,Shipping,EU,^STOXX,CORE
ROG.SW,Roche,Biotech,EU,^SSMI,CORE
NOVN.SW,Novartis,Biotech,EU,^SSMI,CORE
SAN.PA,Sanofi,Biotech,EU,^STOXX,CORE
6723.T,Renesas Electronics,Semiconductor,JP,^N225,CORE
7735.T,SCREEN Holdings,Semiconductor_Equipment,JP,^N225,CORE
4063.T,Shin-Etsu Chemical,Semiconductor_Materials,JP,^N225,CORE
4004.T,Resonac Holdings,Semiconductor_Materials,JP,^N225,CORE
5801.T,Furukawa Electric,AI_Networking,JP,^N225,CORE
5803.T,Fujikura,AI_Networking,JP,^N225,CORE
5802.T,Sumitomo Electric,Power_Grid,JP,^N225,CORE
6501.T,Hitachi,Power_Grid,JP,^N225,CORE
6503.T,Mitsubishi Electric,Power_Grid,JP,^N225,CORE
6645.T,Omron,Industrials,JP,^N225,CORE
6861.T,Keyence,Industrials,JP,^N225,CORE
6954.T,FANUC,Industrials,JP,^N225,CORE
6506.T,Yaskawa Electric,Industrials,JP,^N225,CORE
6273.T,SMC,Industrials,JP,^N225,CORE
9101.T,Nippon Yusen,Shipping,JP,^N225,CORE
9104.T,Mitsui OSK Lines,Shipping,JP,^N225,CORE
9107.T,Kawasaki Kisen,Shipping,JP,^N225,CORE
7011.T,Mitsubishi Heavy Industries,Defense,JP,^N225,CORE
7012.T,Kawasaki Heavy Industries,Defense,JP,^N225,CORE
7013.T,IHI,Defense,JP,^N225,CORE
4519.T,Chugai Pharmaceutical,Biotech,JP,^N225,CORE
4568.T,Daiichi Sankyo,Biotech,JP,^N225,CORE
4502.T,Takeda Pharmaceutical,Biotech,JP,^N225,CORE
4503.T,Astellas Pharma,Biotech,JP,^N225,CORE
7203.T,Toyota Motor,EV,JP,^N225,CORE
7267.T,Honda Motor,EV,JP,^N225,CORE
373220.KS,LG Energy Solution,EV,KR,^KS11,CORE
006400.KS,Samsung SDI,EV,KR,^KS11,CORE
051910.KS,LG Chem,EV,KR,^KS11,CORE
005380.KS,Hyundai Motor,EV,KR,^KS11,CORE
000270.KS,Kia,EV,KR,^KS11,CORE
012450.KS,Hanwha Aerospace,Defense,KR,^KS11,CORE
079550.KS,LIG Nex1,Defense,KR,^KS11,CORE
064350.KS,Hyundai Rotem,Defense,KR,^KS11,CORE
207940.KS,Samsung Biologics,Biotech,KR,^KS11,CORE
068270.KS,Celltrion,Biotech,KR,^KS11,CORE
356680.KQ,AXGATE,Cybersecurity,KR,^KQ11,CORE
053800.KQ,AhnLab,Cybersecurity,KR,^KQ11,CORE
0700.HK,Tencent,Internet_AI,HK,^HSI,CORE
9988.HK,Alibaba,Cloud_AI,HK,^HSI,CORE
9888.HK,Baidu,Cloud_AI,HK,^HSI,CORE
1810.HK,Xiaomi,Consumer_Tech,HK,^HSI,CORE
1211.HK,BYD,EV,HK,^HSI,CORE
9868.HK,XPeng,EV,HK,^HSI,CORE
2015.HK,Li Auto,EV,HK,^HSI,CORE
0981.HK,SMIC,Foundry,HK,^HSI,CORE
1347.HK,Hua Hong Semiconductor,Foundry,HK,^HSI,CORE
1919.HK,COSCO Shipping Holdings,Shipping,HK,^HSI,CORE
1548.HK,Genscript Biotech,Biotech,HK,^HSI,CORE
2269.HK,WuXi Biologics,Biotech,HK,^HSI,CORE
2359.HK,WuXi AppTec,Biotech,HK,^HSI,CORE
1801.HK,Innovent Biologics,Biotech,HK,^HSI,CORE
1177.HK,Sino Biopharmaceutical,Biotech,HK,^HSI,CORE
1093.HK,CSPC Pharmaceutical,Biotech,HK,^HSI,CORE
